"ID","SNAME","K","Name","DECODE","CalcTip","GLN","UNIT","F","IDF","USUNIT","KFF","USKFF","L2","P","F1","F2","PTip","nHDR","View","FldNam","format"
"990","wlk/m",,,"v*1E6,kg/m2.s",,,"kg/m2.s                       ","          ","EVR   ","mg/cm2.h                      ","1E6       ","1E6       ",,"v                                                 ",,,"EVR ",0,1,,
"990","dh/km",,,"ÍH,kcal/mol",,,"kcal/mol                      ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"ÍH                                                ",,,"ENT ",0,1,,
"200","aq",,,"A,J/g.K",,,"J/g.K                         ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"A                                                 ",,,"HTC ",0,0,,
"200","bq",,,"B,J/g.K2",,,"J/g.K2                        ","          ","      ","J/g.K2                        ","          ","          ",,"B                                                 ",,,"    ",0,0,,
"200","cq",,,"C,J.K/g",,,"J.K/g                         ","          ","      ","J.K/g                         ","          ","          ",,"C                                                 ",,,"    ",0,1,,
"200","dq",,,"D,J/g.K^[1/2]",,,"J/g.K^[1/2]                   ","          ","      ","J/g.K^[1/2]                   ","          ","          ",,"D                                                 ",,,"    ",0,0,,
"600","exnak",,,"Extr.RâO, mg/g glass",,,"mg/g glass                    ","          ","      ","mg/g glass                    ","          ","          ",,"Extr.RâO                                          ",,,"    ",0,1,,
"600","exk",,,"mg KâO/g glass",,,"                              ","          ","      ","                              ","          ","          ",,"mg KâO/g glass                                    ",,,"    ",0,1,,
"830","kmo",,,"K,mol Oâ/s.cm",,,"mol O2/s.cm                   ","          ","      ","mol O2/s.cm                   ","          ","          ",,"K                                                 ",,,"    ",0,1,,
"830","smo0",,,"Sà,mol Oâ/cm3.atm",,,"mol O2/cm3.atm                ","          ","      ","mol O2/cm3.atm                ","          ","          ",,"Sà                                                ",,,"    ",0,1,,
"950","wtfrac",,,"Wt fraction of cryst.phase,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Wt fraction of cryst.phase                        ",,,"    ",0,1,,
"600","vmc/m",,,"v,õm/min",,,"um/min                        ","          ","      ","um/min                        ","          ","          ",,"v                                                 ",,,"    ",0,1,,
"100","dd/d",,,"íd/dà,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"íd/dà                                             ",,,"    ",0,1,,
"100","db1",,,"B·1E7,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","          ","          ",,"B·1E7                                             ",,,"TEC ",0,0,,
"950","lvm",,,"log(v,Microm/h)",,,"Microm/h                      ","log       ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"600","exkp",,,"Extr.KâO,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extr.KâO                                          ",,,"    ",0,1,,
"600","exnap",,,"Extr.NaâO,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extr.NaâO                                         ",,,"    ",0,1,,
"500","tau0",,,"üà",,,"                              ","          ","      ","                              ","          ","          ",,"üà                                                ",,,"    ",0,1,,
"000","srpa",,,"sqrt(P,atm)",,"at","atm                           ","sqrt      ","PRE   ","kg/cm2                        ","          ","          ",,"P                                                 ",,,"PRE ",0,1,,
"600","wlrmg/g",,,"Wt loss,mg RâO/g glass",,,"mg R2O/g glass                ","          ","      ","mg R2O/g glass                ","          ","          ",,"Wt loss                                           ",,,"    ",0,1,,
"100","db2",,,"B·1E12,cm4/kg2",,,"cm4/kg2                       ","          ","      ","cm4/kg2                       ","          ","          ",,"B·1E12                                            ",,,"    ",0,0,,
"200","cve/g",,,"C¡,erg/g.K",,,"erg/g.K                       ","          ","HTC   ","J/g-atom.K                    ","          ","          ",,"C¡                                                ",,,"HTC ",0,1,,
"000","prhomm",,,"P[HâO],mm Hg",,"at","mm Hg                         ","          ","PRE   ","kg/cm2                        ","          ","          ",,"P[HâO]                                            ",,,"PRE ",0,1,,
"000","sam",,,"Sample",,,"                              ","          ","      ","                              ","          ","          ",,"Sample                                            ",,,"    ",0,1,,
"000","meas",,,"Measurement",,,"                              ","          ","      ","                              ","          ","          ",,"Measurement                                       ",,,"    ",0,1,,
"000","mel",,,"Melting",,,"                              ","          ","      ","                              ","          ","          ",,"Melting                                           ",,,"    ",0,1,,
"600","exsi",,,"Extr.SiOâ,mg/g ",,,"mg/g                          ","          ","      ","mg/g                          ","          ","          ",,"Extr.SiOâ                                         ",,,"    ",0,1,,
"600","exal",,,"Extr.AlâOã,mg/g ",,,"mg/g                          ","          ","      ","mg/g                          ","          ","          ",,"Extr.AlâOã                                        ",,,"    ",0,1,,
"600","hyclw",,,"Hydrolytic class",,,"                              ","          ","      ","                              ","          ","          ",,"Hydrolytic class                                  ",,,"    ",0,1,,
"600","hycla",,,"Class of acid resistance",,,"                              ","          ","      ","                              ","          ","          ",,"Class of acid resistance                          ",,,"    ",0,1,,
"600","vsg/cmh",,,"v*1E5,g/cm2.h",,,"g/cm2.h                       ","          ","EVR   ","mg/cm2.h                      ","1E5       ","1E5       ",,"v                                                 ",,,"EVR ",0,1,,
"950","ln/c3",,,"log(N,cm^-3)",,,"cm^-3                         ","log       ","      ","cm^-3                         ","          ","          ",,"N                                                 ",,,"    ",0,1,,
"950","prhomm",,,"P[HâO], mm Hg",,,"mm Hg                         ","          ","PRE   ","kg/cm2                        ","          ","          ",,"P[HâO]                                            ",,,"PRE ",0,1,,
"950","rphoat",,,"1/sqrt(P[HâO],atm)",,,"atm                           ","1/sqrt    ","PRE   ","kg/cm2                        ","          ","          ",,"P[HâO]                                            ",,,"PRE ",0,1,,
"950","rvmk/min",,,"1/v,min/Microm",,,"min/Microm                    ","          ","      ","min/Microm                    ","          ","          ",,"1/v                                               ",,,"    ",0,1,,
"950","iph",,,"ü,h",,,"h                             ","          ","TIM   ","h                             ","          ","          ",,"ü                                                 ",,,"TIM ",0,1,,
"950","lvmc/h",,,"log(v,Microm/h)",,,"Microm/h                      ","log       ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"950","mmc/m",,,"vŒ„‹Ÿ,Microm/min",,,"Microm/min                    ","          ","VEL   ","cm/s                          ","          ","          ",,"vŒ„‹Ÿ                                             ",,,"CRT ",0,1,,
"830","smh/mm",,,"S*1E3,mol.% HâO/mol melt",,,"mol.% H2O/mol melt            ","          ","      ","mol.% H2O/mol melt            ","1E3       ","1E3       ",,"S                                                 ",,,"    ",0,1,,
"830","scm/g",,,"S,cm3[STP]/g",,,"cm3[STP]/g                    ","          ","      ","cm3[STP]/g                    ","          ","          ",,"S                                                 ",,,"    ",0,1,,
"800","d03",,,"Dà*1E3,cm2/s",,,"cm2/s                         ","          ","DIF   ","m2/s                          ","1E3       ","1E3       ",,"Dà                                                ",,,"DIF ",0,1,,
"990","wlg/m",,,"Wt loss,g/m2",,,"g/m2                          ","          ","      ","g/m2                          ","          ","          ",,"Wt loss                                           ",,,"    ",0,1,,
"900","vcr",,,"v‚,K/s",,,"K/s                           ","          ","TRT   ","K/s                           ","          ","          ",,"v‚                                               ",,,"TRT ",0,1,,
"900","lvcr",,,"log(v‚,K/s)",,,"K/s                           ","log       ","TRT   ","K/s                           ","          ","          ",,"v‚                                               ",,,"TRT ",0,1,,
"100","dc3",,,"C·1E7,g/cm3.K2",,,"g/cm3.K2                      ","          ","      ","g/cm3.K2                      ","          ","          ",,"C·1E7                                             ",,,"    ",0,0,,
"520","q6",,,"Q¬Á*1E6",,,"                              ","          ","      ","                              ","1E6       ","1E6       ",,"Q¬Á                                               ",,,"    ",0,1,,
"830","k0/cca",,,"Kà*1E6,cm3[STP].cm/s.cm2.atm",,,"cm3[STP].cm/s.cm2.atm         ","          ","PER   ","cm3[STP].cm/s.cm2.Pa          ","1E6       ","1E6       ",,"Kà                                                ",,,"PER ",0,0,,
"830","g",,,"Gas",,,"                              ","          ","      ","                              ","          ","          ",,"Gas                                               ",,,"    ",0,1,,
"530","h1",,,"Há*1E-7,Pa",,,"Pa                            ","          ","MDU   ","GPa                           ","1E-7      ","1E-7      ",,"Há                                                ",,,"MDU ",0,1,,
"530","h2",,,"Hâ*1E-7,Pa",,,"Pa                            ","          ","MDU   ","GPa                           ","1E-7      ","1E-7      ",,"Hâ                                                ",,,"MDU ",0,1,,
"600","exsip",,,"Extr.SiOâ,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extr.SiOâ                                         ",,,"    ",0,1,,
"600","excsp",,,"Extr.CsâO,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extr.CsâO                                         ",,,"    ",0,1,,
"600","nsolml",,,"0.01N HâSOä for titration,ml",,,"ml                            ","          ","VOL   ","cm3                           ","          ","          ",,"0.01N HâSOä for titration                         ",,,"VOL ",0,1,,
"950","lvmc/m",,,"log(v,Microm/min)",,,"Microm/min                    ","log       ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"700","bk",,,"b*1E3,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","1E3       ","1E3       ",,"b                                                 ",,,"TEC ",0,0,,
"700","ck",,,"c*1E6,K^-2",,,"K^-2                          ","          ","      ","K^-2                          ","1E6       ","1E6       ",,"c                                                 ",,,"    ",0,0,,
"700","ak",,,"a",,,"                              ","          ","      ","                              ","          ","          ",,"a                                                 ",,,"    ",0,0,,
"700","lsrm",,,"log(ú,Ohm.m)",,,"Ohm.m                         ","log       ","ELR   ","Ohm.cm                        ","          ","          ",,"ú                                                 ",,,"ELR ",0,1,,
"600","vsolc/s",,,"v,cm/s",,,"cm/s                          ","          ","VEL   ","m/s                           ","          ","          ",,"v                                                 ",,,"VEL ",0,1,,
"600","lvsolc/s",,,"log(v,cm/s)",,,"cm/s                          ","log       ","VEL   ","m/s                           ","          ","          ",,"v                                                 ",,,"VEL ",0,1,,
"600","nclml",,,"0.01N HCl for titration, ml",,,"ml                            ","          ","VOL   ","cm3                           ","          ","          ",,"0.01N HCl for titration                           ",,,"VOL ",0,1,,
"950","lnvmc/m",,,"ln(v,Microm/min)",,,"Microm/min                    ","ln        ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"600","nsoml",,,"0.1N HâSOä for titration,ml",,,"ml                            ","          ","VOL   ","cm3                           ","          ","          ",,"0.1N HâSOä for titration                          ",,,"VOL ",0,1,,
"000","fd",,,"Fibre diameter,Microm",,,"Microm                        ","          ","WAV   ","Micronm                       ","          ","          ",,"Fibre diameter                                    ",,,"WAV ",0,1,,
"600","exlip",,,"Extr.LiâO,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Extr.LiâO                                         ",,,"    ",0,1,,
"600","ai",,,"Extr.ions,ppm",,,"ppm                           ","          ","      ","ppm                           ","          ","          ",,"Extr.ions                                         ",,,"    ",0,1,,
"830","k0/1c",,,"Kà,cm3[STP].mm/s.cm2.cm Hg",,,"cm3[STP].mm/s.cm2.cm Hg       ","          ","PER   ","cm3[STP].cm/s.cm2.Pa          ","          ","          ",,"Kà                                                ",,,"PER ",0,0,,
"830","s0/1c",,,"Sà,cm3[STP]/cm3.atm",,,"cm3[STP]/cm3.atm              ","          ","SOL   ","cm3[STP]/cm3.Pa               ","          ","          ",,"Sà                                                ",,,"SOL ",0,0,,
"950","lntindm",,,"ln(tˆƒ,min)",,,"min                           ","ln        ","TIM   ","h                             ","          ","          ",,"tˆƒ                                              ",,,"TIM ",0,1,,
"730","eps-eps",,,"[î'ž-î'µ]·T,K",,,"K                             ","          ","TMP   ","K                             ","          ","          ",,"[î'ž-î'µ]·T                                       ",,,"TMP ",0,1,,
"300","a",,,"A",,,"                              ","          ","      ","                              ","          ","          ",,"A                                                 ",,,"    ",0,0,,
"730","erel",,,"E„‹,kcal/mol",,,"kcal/mol                      ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"E„‹                                              ",,,"ENT ",0,1,,
"730","etau",,,"E[ü],kcal/mol",,,"kcal/mol                      ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"E[ü]                                              ",,,"ENT ",0,1,,
"730","tauo",,,"log(üà,s)",,,"s                             ","log       ","TIM   ","h                             ","          ","          ",,"üà                                                ",,,"TIM ",0,1,,
"830","km/cs",,,"K,molecules/s.cm",,,"molecules/s.cm                ","          ","      ","molecules/s.cm                ","          ","          ",,"K                                                 ",,,"    ",0,1,,
"830","k0m/cs",,,"Kà,molecules/s.cm",,,"molecules/s.cm                ","          ","      ","molecules/s.cm                ","          ","          ",,"Kà                                                ",,,"    ",0,0,,
"830","sm/c",,,"S,molecules/cm3",,,"molecules/cm3                 ","          ","      ","molecules/cm3                 ","          ","          ",,"S                                                 ",,,"    ",0,1,,
"830","s0m/c",,,"Sà,molecules/cm3",,,"molecules/cm3                 ","          ","      ","molecules/cm3                 ","          ","          ",,"Sà                                                ",,,"    ",0,0,,
"600","exna/dm",,,"Extr.NaâO,mg/dm2",,,"mg/dm2                        ","          ","      ","mg/dm2                        ","          ","          ",,"Extr.NaâO                                         ",,,"    ",0,1,,
"700","lpsr/t",,,"log([ú/T]à,Ohm.cm/K)",,,"Ohm.cm/K                      ","log       ","      ","Ohm.cm/K                      ","          ","          ",,"[ú/T]à                                            ",,,"    ",0,0,,
"000","prop",,,"Property",,"at","                              ","          ","      ","                              ","          ","          ",,"Property                                          ",,,"    ",0,1,,
"600","lgnsol",,,"log(n,mol/cm2)",,,"mol/cm2                       ","log       ","      ","mol/cm2                       ","          ","          ",,"n                                                 ",,,"    ",0,1,,
"600","lgnsol/h",,,"log(v,mol/cm2.h)",,,"mol/cm2.h                     ","log       ","      ","mol/cm2.h                     ","          ","          ",,"v                                                 ",,,"    ",0,1,,
"600","nso2ml",,,"0.02N HâSOä for titration,ml",,,"ml                            ","          ","VOL   ","cm3                           ","          ","          ",,"0.02N HâSOä for titration                         ",,,"VOL ",0,1,,
"000","sqrtim",,,"sqrt(t,min)",,"at","min                           ","sqrt      ","TIM   ","h                             ","          ","          ",,"t                                                 ",,,"TIM ",0,1,,
"000","sqrtih",,,"sqrt(t,h)",,"at","h                             ","sqrt      ","TIM   ","h                             ","          ","          ",,"t                                                 ",,,"TIM ",0,1,,
"830","ls/ag",,,"log(S,cm3[STP]/g.atm)",,,"cm3[STP]/g.atm                ","log       ","      ","cm3[STP]/g.atm                ","          ","          ",,"S                                                 ",,,"    ",0,1,,
"500","g/pt",,,"[dG/dP]",,,"                              ","          ","      ","                              ","          ","          ",,"[dG/dP]                                          ",,,"    ",0,1,,
"500","k/pt",,,"[dK/dP]",,,"                              ","          ","      ","                              ","          ","          ",,"[dK/dP]                                          ",,,"    ",0,1,,
"500","ct/pb3",,,"[dcŸ/dP]*1E3,km/s.kbar",,,"km/s.kbar                     ","          ","C/P   ","km/s.kbar                     ","1E3       ","1E3       ",,"[dcŸ/dP]                                         ",,,"C/P ",0,1,,
"500","cl/pb3",,,"[dc‹/dP]*1E3,km/s.kbar",,,"km/s.kbar                     ","          ","C/P   ","km/s.kbar                     ","1E3       ","1E3       ",,"[dc‹/dP]                                         ",,,"C/P ",0,1,,
"530","lg",,,"Load,gf",,"at","gf                            ","          ","      ","gf                            ","          ","          ",,"Load                                              ",,,"    ",0,1,,
"800","phhg",,,"Pressure of Hâ,mm Hg",,,"mm Hg                         ","          ","PRE   ","kg/cm2                        ","          ","          ",,"Pressure of Hâ                                    ",,,"PRE ",0,1,,
"200","dh300c/g",,,"H-Hãàà,cal/g",,,"cal/g                         ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"H-Hãàà                                           ",,,"ENT ",0,1,,
"600","nr",,,"NR,g/m2",,,"g/m2                          ","          ","      ","g/m2                          ","          ","          ",,"NR                                                ",,,"    ",0,1,,
"000","impmol",,,"CˆŒ*1E4,mol.% by analysis",,,"mol.% by analysis             ","          ","      ","mol.% by analysis             ","1E4       ","1E4       ",,"CˆŒ                                              ",,,"    ",0,0,,
"000","gas",,,"Gas",,,"                              ","          ","      ","                              ","          ","          ",,"Gas                                               ",,,"    ",0,1,,
"500","lkb",,,"L,kbar",,,"kbar                          ","          ","MDU   ","GPa                           ","          ","          ",,"L                                                 ",,,"MDU ",0,1,,
"800","ldin",,,"log(Dˆ,cm2/s)",,,"cm2/s                         ","log       ","DIF   ","m2/s                          ","          ","          ",,"Dˆ                                               ",,,"DIF ",0,1,,
"400","vops",,,"ñà,Pa.s",,,"Pa.s                          ","          ","VIS   ","P                             ","          ","          ",,"ñà                                                ",,,"VIS ",0,0,,
"220","tconj/cm",,,"ô,J/cm.s.K","cond220",,"J/cm.s.K                      ","          ","THC   ","cal/cm.s.K                    ","          ","          ",,"ô                                                 ",,,"THC ",0,1,"cond220",
"950","lnipm",,,"ln(ü,min)",,,"min                           ","ln        ","TIM   ","h                             ","          ","          ",,"ü                                                 ",,,"TIM ",0,1,,
"000","ion",,,"Ion",,,"                              ","          ","      ","                              ","          ","          ",,"Ion                                               ",,,"    ",0,1,,
"520","q4",,,"Q¬Á*1E4",,,"                              ","          ","      ","                              ","1E4       ","1E4       ",,"Q¬Á                                               ",,,"    ",0,1,,
"400","lnp",,,"ln(ñ,P)",,"at","P                             ","ln        ","VIS   ","P                             ","          ","          ",,"ñ                                                 ",,,"VIS ",0,1,,
"000","co",,,"Component",,,"                              ","          ","      ","                              ","          ","          ",,"Component                                         ",,,"    ",0,1,,
"830","ed/j",,,"E¹,J",,,"J                             ","          ","      ","J                             ","          ","          ",,"E¹                                                ",,,"    ",0,1,,
"830","ek/j",,,"EÎ,J",,,"J                             ","          ","      ","J                             ","          ","          ",,"EÎ                                                ",,,"    ",0,1,,
"830","es/j",,,"EË,J",,,"J                             ","          ","      ","J                             ","          ","          ",,"EË                                                ",,,"    ",0,1,,
"830","k0/1",,,"Kà,cm3[STP]/s.cm",,,"cm3[STP]/s.cm                 ","          ","      ","cm3[STP]/s.cm                 ","          ","          ",,"Kà                                                ",,,"    ",0,0,,
"830","s0/1",,,"Sà,cm3[STP]/cm3",,,"cm3[STP]/cm3                  ","          ","      ","cm3[STP]/cm3                  ","          ","          ",,"Sà                                                ",,,"    ",0,1,,
"500","k/tgpa",,,"dK/dT,GPa/K",,,"GPa/K                         ","          ","M/T   ","GPa/K                         ","          ","          ",,"dK/dT                                             ",,,"M/T ",0,1,,
"500","g/tgpa",,,"dG/dT,GPa/K",,,"GPa/K                         ","          ","M/T   ","GPa/K                         ","          ","          ",,"dG/dT                                             ",,,"M/T ",0,1,,
"520","lq",,,"log(Q¬Á)",,,"                              ","          ","      ","                              ","          ","          ",,"log(Q¬Á)                                          ",,,"    ",0,1,,
"000","glass",,,"Glass",,,"                              ","          ","      ","                              ","          ","          ",,"Glass                                             ",,,"    ",0,1,,
"420","tgk",,,"T†,K","Tg",,"K                             ","          ","TMP   ","K                             ","          ","          ",,"T†                                                ",,,"TMP ",0,1,"Tg",
"730","depsoo/dt",,,"dîµ/dT*1E4,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","1E4       ","1E4       ",,"dîµ/dT                                            ",,,"TEC ",0,1,,
"530","hpa",,,"H*1E-7,Pa",,,"Pa                            ","          ","MDU   ","GPa                           ","1E-7      ","1E-7      ",,"H                                                 ",,,"MDU ",0,1,"mikrotv",
"000","bm",,,"Batch material",,,"                              ","          ","      ","                              ","          ","          ",,"Batch material                                    ",,,"    ",0,1,,
"830","scms",,,"S*1E3,cm3[STP]/cm3 SiOâ",,,"cm3[STP]/cm3 SiO2             ","          ","      ","cm3[STP]/cm3 SiO2             ","1E3       ","1E3       ",,"S                                                 ",,,"    ",0,1,,
"200","dh298kj/m",,,"H-Hâéè,kJ/mol",,,"kJ/mol                        ","          ","ENT   ","kJ/g-atom                     ","          ","          ",,"H-Hâéè                                           ",,,"ENT ",0,1,,
"300","nc-d",,,"nÚ",,,"                              ","          ","      ","                              ","          ","          ",,"nÚ                                                ",,,"    ",0,1,,
"300","nf-d",,,"nÜ",,,"                              ","          ","      ","                              ","          ","          ",,"nÜ                                                ",,,"    ",0,1,,
"600","exca",,,"Extr. CaO,mg/g",,,"mg/g                          ","          ","      ","mg/g                          ","          ","          ",,"Extr. CaO                                         ",,,"    ",0,1,,
"600","exzr",,,"Extr.ZrOâ,mg/g ",,,"mg/g                          ","          ","      ","mg/g                          ","          ","          ",,"Extr.ZrOâ                                         ",,,"    ",0,1,,
"600","exb",,,"Extr.BâOã,mg/g",,,"mg/g                          ","          ","      ","mg/g                          ","          ","          ",,"Extr.BâOã                                         ",,,"    ",0,1,,
"600","lvmc/s",,,"log(v,õm/s)",,,"um/s                          ","log       ","      ","um/s                          ","          ","          ",,"v                                                 ",,,"    ",0,1,,
"600","wlg/cmm",,,"v,g/cm2.min",,,"g/cm2.min                     ","          ","EVR   ","mg/cm2.h                      ","          ","          ",,"v                                                 ",,,"EVR ",0,1,,
"500","lg",,,"l,gf",,,"gf                            ","          ","      ","gf                            ","          ","          ",,"l                                                 ",,,"    ",0,1,,
"530","llg",,,"log(l,gf)",,,"gf                            ","log       ","      ","gf                            ","          ","          ",,"l                                                 ",,,"    ",0,1,,
"950","lvm/s",,,"log(v,m/s)",,,"m/s                           ","log       ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"950","ln/m3",,,"log(N,m^-3)",,,"m^-3                          ","log       ","      ","m^-3                          ","          ","          ",,"N                                                 ",,,"    ",0,1,,
"950","vmm/h",,,"v,mm/h",,,"mm/h                          ","          ","VEL   ","cm/s                          ","          ","          ",,"v                                                 ",,,"CRT ",0,1,,
"100","ddens",,,"íd,g/cm3",,,"g/cm3                         ","          ","DEN   ","g/cm3                         ","          ","          ",,"íd                                                ",,,"DEN ",0,1,,
"400","lvglc",,,"log(ñ†[l],P)",,,"P                             ","log       ","VIS   ","P                             ","          ","          ",,"ñ†[l]                                             ",,,"VIS ",0,1,,
"400","lvglh",,,"log(ñ†[l]¨,P)",,,"P                             ","log       ","VIS   ","P                             ","          ","          ",,"ñ†[l]¨                                            ",,,"VIS ",0,1,,
"400","lvgkh",,,"log(ñ†[ó]¨,P)",,,"P                             ","log       ","VIS   ","P                             ","          ","          ",,"ñ†[ó]¨                                            ",,,"VIS ",0,1,,
"400","lvgkc",,,"log(ñ†[ó],P)",,,"P                             ","log       ","VIS   ","P                             ","          ","          ",,"ñ†[ó]                                             ",,,"VIS ",0,1,,
"420","tglc",,,"T†[l],oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"T†[l]                                             ",,,"TMP ",0,1,,
"420","tglh",,,"T†[l]¨,oC","Tg",,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"T†[l]¨                                            ",,,"TMP ",0,1,"Tg",
"420","tgkh",,,"T†[ó]¨,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"T†[ó]¨                                            ",,,"TMP ",0,1,,
"420","tgkc",,,"T†[ó],oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"T†[ó]                                             ",,,"TMP ",0,1,,
"000","ltih",,,"log(t,h)",,"at","h                             ","log       ","TIM   ","h                             ","          ","          ",,"t                                                 ",,,"TIM ",0,1,,
"100","v/v0",,,"V/Và",,,"                              ","          ","      ","                              ","          ","          ",,"V/Và                                              ",,,"    ",0,1,,
"100","rdv/v0",,,"-[íV/Và]·1E4",,,"                              ","          ","      ","                              ","          ","          ",,"-[íV/Và]·1E4                                      ",,,"    ",0,1,,
"000","logtk",,,"log(T,K)",,,"K                             ","log       ","TMP   ","K                             ","          ","          ",,"T                                                 ",,,"TMP ",0,1,,
"000","prkb",,,"P,kbar",,"at","kbar                          ","          ","MDU   ","GPa                           ","          ","          ",,"P                                                 ",,,"MDU ",0,1,,
"400","yv",,,"yield value,g/cm.s2",,,"g/cm.s2                       ","          ","      ","g/cm.s2                       ","          ","          ",,"yield value                                       ",,,"    ",0,1,,
"500","a/f",,,"(ê/f)*1E9,s/cm",,,"s/cm                          ","          ","ELC   ","Ohm^-1.cm^-1                  ","*1E9      ","*1E9      ",,"ê/f                                               ",,,"ELC ",0,1,,
"516","sod",,,"B*1E13,cm2/dyn","soc",,"cm2/dyn                       ","          ","SOC   ","Brewster                      ","1E13      ","1E13      ",,"B                                                 ",,,"SOC ",0,1,,
"600","ak",,,"A,K",,,"K                             ","          ","TMP   ","K                             ","          ","          ",,"A                                                 ",,,"TMP ",0,0,,
"600","c",,,"C,mol/cm2.s",,,"mol/cm2.s                     ","          ","      ","mol/cm2.s                     ","          ","          ",,"C                                                 ",,,"    ",0,1,,
"700","c",,,"C*1E3,K-1",,,"K-1                           ","          ","      ","K-1                           ","1E3       ","1E3       ",,"C                                                 ",,,"    ",0,0,,
"990","wl/g/cm",,,"v*1E6,g/cm2.s",,,"g/cm2.s                       ","          ","EVR   ","mg/cm2.h                      ","1E6       ","1E6       ",,"v                                                 ",,,"EVR ",0,1,,
"100","vam",,,"A,cm3/mol",,,"cm3/mol                       ","          ","SPV   ","cm3/mol                       ","          ","          ",,"A                                                 ",,,"SPV ",0,0,,
"100","vbm",,,"B·1E2,cm3/mol.K",,,"cm3/mol.K                     ","          ","      ","cm3/mol.K                     ","          ","          ",,"B·1E2                                             ",,,"    ",0,0,,
"130","ai",,,"êˆ*1E7,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","1E7       ","1E7       ",,"êˆ                                                ",,,"TEC ",0,1,,
"130","as",,,"êž*1E7,K^-1",,,"K^-1                          ","          ","TEC   ","K^-1                          ","1E7       ","1E7       ",,"êž                                                ",,,"TEC ",0,1,,
"540","fs",,,"û…",,,"                              ","          ","      ","                              ","          ","          ",,"û…                                                ",,,"    ",0,1,,
"990","vp/t2",,,"P¡€*2,torr",,,"torr                          ","          ","MDU   ","GPa                           ","2         ","2         ",,"P¡€                                              ",,,"MDU ",0,1,,
"200","lcpe/g",,,"log(C,erg/g.K)",,,"erg/g.K                       ","log       ","HTC   ","J/g-atom.K                    ","          ","          ",,"C                                                ",,,"HTC ",0,1,,
"200","lcvw/g",,,"log(C¡,W.s/g.K)",,,"W.s/g.K                       ","log       ","      ","W.s/g.K                       ","          ","          ",,"C¡                                                ",,,"    ",0,1,,
"130","a/t10",,,"(ê/TÃ)*1E10,K^-4",,,"K^-4                          ","          ","      ","K^-4                          ","*1E10     ","*1E10     ",,"ê/TÃ                                              ",,,"    ",0,1,,
"600","wipc",,,"Wt increase,%",,,"%                             ","          ","      ","%                             ","          ","          ",,"Wt increase                                       ",,,"    ",0,1,,
"400","vonm6",,,"ñà*1E6,Pa.s",,,"Pa.s                          ","          ","VIS   ","P                             ","1E6       ","1E6       ",,"ñà                                                ",,,"    ",0,0,,
"520","tmaxim",,,"TŒ€£,oC",,,"oC                            ","          ","TMP   ","K                             ","          ","          ",,"TŒ€£                                              ",,,"TMP ",0,1,,
"520","qmax3",,,"Q¬ÁŒ€£*1E3",,,"                              ","          ","      ","                              ","1E3       ","1E3       ",,"Q¬ÁŒ€£                                            ",,,"    ",0,1,,
"990","vp/hg/nb",,,"P¡€[NaBOâ],mm Hg",,,"mm Hg                         ","          ","PRE   ","kg/cm2                        ","          ","          ",,"P¡€[NaBOâ]                                       ",,,"PRE ",0,1,,
"600","ph",,,"pH",,"for","                              ","          ","      ","                              ","          ","          ",,"pH                                                ",,,"    ",0,1,,
"600","vr",,,"VŽŸ,min^-1",,,"min^-1                        ","          ","FRQ   ","Hz                            ","          ","          ",,"VŽŸ                                              ",,,"FRQ ",0,1,,
"600","vsolmg/cm",,,"v,mg/cm2.min",,,"mg/cm2.min                    ","          ","EVR   ","mg/cm2.h                      ","          ","          ",,"v                                                 ",,,"EVR ",0,1,,
"600","vsolpc/m",,,"v,%/min",,,"%/min                         ","          ","      ","%/min                         ","          ","          ",,"v                                                 ",,,"    ",0,1,,
