"KOD","ID","NN","SNAME","NAME","EI"
"x","000","5sb","hf","Samples treated in solution of HF",
"x","000","5sb","nt","Sample surface without preliminary treatment",
"x","000","5sb","r","Samples in the form of rods",
"x","000","5sb","sol","Samples treated in solution",
"x","000","5sb","t","Samples in the form of tubes",
"x","000","2s","gw","Glass was",
"x","800","9","eq2-e","E¹ value in the equation logD=logDà-0.4343·E¹/RT",
"x","100","9","eq1","Constants in the equation d=A/(1+3B·T) where  T is the temperature in °C",
"x","100","1","me1","Measurements of densification",
"x","950","4","aw","in humid air",
"x","100","9","eq2","Constants in the equation ÍV/Và = AP + BPÂ",
"x","000","1p",,"in pressure range","kg/cmÂ"
"x","100","1","cntpr","by counterbalanced sphere method using PtRh sphere and crucible",
"x","000","3","a","Note. * - by analysis.",
"x","900","1","me","Study of glass formation.",
"x","900","1m","pc","Platinum crucible",
"x","900","1m","cca","cooling in the crucible in air",
"x","100","1","mbpm","by maximum bubble pressure method",
"x","000","2","n","Measurements in nitrogen atmosphere",
"m",,"1","ic","Melting in iron crucibles",
"x","900","1m","cci","cooling with crucible in ice",
"x","900","1b",,"Platinum crucible,","of batch"
"x","900","1m","imaoka","Platinum crucible, 1/80 mole of melt, cooling in the crucible in air.",
"x","900","1m","pw","Platinum wire",
"x","950","1","sta","Study of the induction period of crystallization",
"x","100","9","eq3","Constants in the equation d = A + B·T + C·TÂ.",
"x","000","2","he","Measurements in helium atmosphere",
"x","700","9","eq14","Constants in the equation log(ó,Ohm¬Á.cm¬Á)=a+b·T+c·TÂ.",
"x","730","9","eq2","E„‹ is a constant in the equation ln(ü·T)=const+E„‹/RT where ü is the relaxation time",
"x","730","4","eoo","î«µ is the high frequency dielectric constant",
"x","730","4","es","î«ž is the static or low frequency dielectric constant",
"x","730","4","es-eoo","(î«ž-î«µ)·T is the dispersion of dielectric constant",
"x","730","1","schhp","by Schering and high power factor dielectric bridges",
"x","700","1","ph","by pH meter",
"x","730","9","eq3","Constants in the equation ü=üà·exp(E[ü]/RT) where ü is the ionic relaxation time",
"x","700","9","eq15","Constants in the equation log(ú/T)=log(ú/T)à+0.4343*E/RT.",
"x","230","1","ssm","by steady-state method",
"x","830","9","eqd3","D=Dà·T×·exp(-E¹/RT)",
"x","950","4","htfa","Heat-treatment in a furnace atmosphere",
"x","950","1","mein","Measurements of the intrinsic crystallization rate",
"x","700","9","eq16k","Constants in the equation ln(ó·T)=A-E/kT.",
"x","700","9","ae16k","Activation energy E in the equation ln(ó·T)=A-E/kT.",
"x","950","3su",,"Study of the surface crystallization of",
"x","700","1","mecm","by high resistance micro-electric current measurer",
"x","830","9","eqd1k","D=Dà·exp(-E¹/kT)",
"x","830","9","eqk1k","K=Kà·exp(-EÓ/kT)",
"x","830","9","eqs1k","S=Sà·exp(-EË/kT)",
"x","700","1","bmac","by a.c. bridge method",
"x","600","2pl",,"Samples in the shape of plates","cmÃ"
"x","000","3f",,"frequency",
"x","000","1z",,"with cooling and heating rates of","K/min"
"x","300","1","fsg","by five-second goniometer",
"x","830","9","eqs3","logS=A+B/T",
"x","500","1","ctvm","by composite triple vibrator method",
"x","540","1","tpm","by three-point method",
"x","600","2l","p`","Samples in the shape of polished plates",
"x","130","1","ud","by Ulbricht dilatometer",
"x","540","1","meft","Measurements of fracture toughness",
"x","950","3","scgl","Study of crystal layer growth rate on the glass surface",
"x","950","3","cnr","Study of crystal nucleation rate",
"x","700","1","em","by electrometer method",
"x","700","1","grcb","by General Radio capacitance bridge",
"x","400","1","pv","by Pochettino viscometer (see Glossary)",
"m",,"1","roc","Melting in a Rose crucible",
"x","100","2","ibeb","using iodobenzene-ethilene bromide mixture",
"x","220","9","eq1","Constants in the equation ô=A+B(T-900), where T is the temperature in °C",
"x","600","1","eq5","Constants in the equation v=C·exp(-A/T) where v is the dissolution rate in mol/(cmÂ·s).",
"x","700","9","eq17","Constants in the equation logó=logóà-CT-B/T.",
"x","700","3","ame","using amalgam electrodes",
"x","130","1","cdd","by a copper differential dilatometer",
"x","200","1","pm","by pulse method",
"m",,"1","vbgc","Melting in Vycor-brand glass crucibles",
"m",,"1","zc","Melting in zirconia crucibles",
"m",,"1","upc","Melting in unglazed porcelain crucibles",
"m",,"1","fqa","Melting in fused quartz ampules",
"x","400","1","vv","by vibration viscometer",
"x","300","1","rr","by Rayner refractometer",
"x","500","1","fpl","by four-point loading",
"x","516","1","fpl","by four-point loading",
"x","600","1","hctc","by heat conducting - type calorimeter",
"x","600","1","gm","by gravimetric method",
"x","300","1","sum","by autocollimation one-second goniometer, refractometer, and spectrograph",
"x","730","1","lbm","by Lynch bridge method",
"x","730","1","rm","by resonator method",
"x","700","3","mer","using mercury electrodes",
"x","950","9","eq1","Constants in the equation logü=logüà+0.4343·E[ü]/RT",
"x","950","9","eq2","Constants in the equation logv=logvà+0.4343·E¡/RT",
"x","950","9","eq3","Constants in the equation ü=üà·exp(EÕ/RT)",
"x","000","3","fc","Values are taken from a figure and recalculated by the authors of SciGlass.",
"x","890","1","me","Measurements of magnetic susceptibility",
"x","950","9","eq4","Constants in the equation v=exp[ln(và)]·exp(-E/RT)",
"x","890","1","gm","by Gouy method",
"x","890","1","fm","by Faraday method",
"x","200","1","acr","by adiabatic cryostat",
"x","200","1","tt","using a transient technique",
"x","230","1","qssm","by quasi steady-state method",
"x","220","1","qssm","by quasi steady-state method",
"x","230","1","pm","by pulse method",
"x","230","1","nssm","by non-steady-state method",
"x","520","3","lmo","Longitudinal modes.",
"x","520","3","tmo","Torsional modes.",
"x","520","1","rpm","by resonant piezoelectric method",
"x","520","3","bmo","Bending modes.",
"x","518","1","me","Measurements of acoustical properties",
"x","518","1","bsm","by Brillouin scattering method",
"x","518","1","pem","by pulse-echo method",
"x","518","1","pom","by pulse overlap method",
"x","518","1","rsm","by resonant sphere method",
"x","518","1","pesm","by pulse-echo superposition method",
"x","518","1","upm","by ultrasonic pulse method",
"x","518","1","sbsm","by stimulated Brillouin scattering method",
"x","518","3","lmo","Longitudinal modes.",
"x","518","3","tmo","Transverse modes.",
"x","700","9","ae8","Activation energy E in the equation logó=logóà-0.4343·E/RT.",
"x","700","9","ae8k","Activation energy E in the equation logó=logóà-0.4343·E/kT.",
"x","400","9","eq1f","Constants in the equation logñ=A+B/T at constant fictive  temperature. ",
"x","400","9","eq6f","Constants in the equation logñ=logñà+B/T at constant fictive  temperature. ",
"x","700","9","eq18","Constants in the equation logó=logóà+B/T.",
"x","130","1","de","Determination of thermal expansion coefficient",
"x","700","1","acme","by an a.c. method",
"x","700","1","dcme","by d.c. method",
"x","950","4","sges","Silica glasses.",
"x","000","a1","qw","Quenching in water",
"x","700","1","sbvpm","by slide back voltage potentiometric method",
"x","730","3","mer","using mercury electrodes",
"x","300","1","sm","by spectrometer",
"m",,"3m",,"for","min"
"x","420","1","tma","by thermomechanical analysis",
"x","130","1","tma","by thermomechanical analysis",
"x","000","m1","lmscr1","Laser melting of spinning ceramic rods. Small droplets were spun off from",
"x","000","m1","lmscr2","the molten ends of the rods and were allowed to free-fall cool.",
"x","100","2","ac","using acetone",
"x","950","9","eqv3","Constants in the equation v=và·exp(-E/RT)",
"x","950","9","eqt1","Constants in the equation logü=logüà+EÕ/RT",
"x","950","9","eqv2","Constants in the equation v=exp[ln(và)]·exp(-E/RT)",
"x","950","9","aet3","Activation energy EÕ in the equation ü=üà*exp(EÕ/RT)",
"x","950","9","aev3","Activation energy E[V] in the equation V=Và·exp(E[V]/RT)",
"x","700","9r",,"Electrical resistivity range in log(ú,Ohm·cm)",
"x","700","9c",,"Electrical conductivity range in log(ó,Ohm¬Á·cm¬Á)",
"x","400","9s",,"Viscosity range in log(ñ,Pa·s):",
"x","400","1","fdm","by fiber drawing method",
"x","100","1","dwds","by determination of weight and dimensions of samples",
"x","100","1","cn","by counterbalanced sphere method",
"x","000","7","dfc","Data for compositions of",
"x","000","7","wtf","were compiled from several different sources.",
"x","830","9","ack1","Activation energy in the equation K=Kà·exp(-EÓ/RT)",
"x","730","9","ae4","Activation energy in the equation ü=üà·exp(E[ü]/RT) where ü is the relaxation time",
"x","560","9","eq1","Constants in the equation û=A-BT where T is the temperature in °C.",
"m",,"1","fsc","Melting in Ferrosil crucibles",
"x","130","1","ndd","by Netzsch differential dilatometer",
"x","130","1","abd","by an absolute dilatometer",
"m",,"1","znc","Melting in zircon crucibles",
"m",,"1","gpc","Melting in a gold-palladium crucible",
"x","990","9","eq4","Constants in the equation log(P,mm Hg)=A-B/T.",
"x","500","9","eq1","Constants in the equation c‹=c‹âáàà-(dc‹/dT)·(T-2100).",
"x","830","9","aek1","Activation energy E in the equation logK=logKà-0.4343·EÓ/RT.",
"x","300","1","osg","by one-second goniometer",
"x","300","1","acg","by autocolimation goniometer",
"x","500","1","peom","by pulse echo overlap method",
"x","700","9","eq19","Constants in the equation logó=logóà-B/T.",
"m",,"1","goc","Melting in a gold crucible",
"sh",,"3m",,"Samples in the form of plates,                                                                      ",
"m",,"1","bnc","Melting in a BN-crucible",
"m",,"3","m","for                                                                                                 ",
"x","100","1","dim","by displacement method",
"x","100","1","gd","by gamma densitometer",
"x","130","1","od","by Orton dilatometer",
"x","130","1","prd","by a push-rod dilatometer",
"x","300","2","me","Measurements of optical absorbance",
"x","400","1atm","ar","in argon atmosphere",
"x","420","1","ta","by thermomechanical analyser",
"x","700","1","cim","by complex impedance method",
"x","700","1","ism","by impedance spectroscopy method",
"x","700","1","tpm","by two-probe method",
"x","730","1","cim","by complex impedance method",
"x","730","9","eq3k","Constants in the equation ü„‹=üà·exp(E„‹/kT) where  ü is the relaxation time",
"m",,"8","cpmp","Casting on a preheated metal plate.",
"x","520","9","eq2","Constants in the equation ü=üà·exp(E[Q]/kT)",
"x","600","2","pg","Samples in the shape of ground plates.",
"x","700","8","ptrd","Measurements in platinum-rhodium crucible",
"x","700","9","eq20","Constants in the equation ó=A+B·T where T is given in K.",
"x","100","1","wc","by suspension of crucible with glass in molten salt",
"x","500","1","rfm","by resonance frequency method",
"x","600","1","eq6","Constants in the equation logv=A-B/T where v is the dissolution rate in mol/cmÂ·s.",
"m",,"1","gcc","Melting in glassy carbon crucibles",
"x","000","3","fp","Note: Numerical values were taken from curves having no experimental points.",
"x","700","9","ae9","Activation energy E in the equation ó=(óà/T)·exp(-E/RT).",
"x","700","9","ae9k","Activation energy E in the equation ó=(óà/T)·exp(-E/kT).",
"x","000","1ok",,"at temperature                                                                                      ","K"
"x","000","1rk",,"in temperature range                                                                                ","K"
"x","730","9","ae5","Activation energy in the equation Taní=Taníà·exp(E[Taní]/RT) ",
"x","000","3","n1e","Note: Enthalpy data in the table are",
"x","000","3","n1c","Note: Heat capacity data in the table are",
"x","000","3","n2","times smaller than those in the original paper due to the difference between molecular weights of",
"x","000","3","n3"," melts assumed in the original paper and those calculated in the SciGlass System.",
"x","000","3","n1ec","Note: Enthalpy and heat capacity data in the table are",
"m",,"1q","bbp","Quenching between two brass plates",
"x","520","1","nip","by non-inverted pendulum method",
"x","950","1","decr","Determination of temperature of exothermal maximum T‚",
"x","950","1","dex","Determination of onset crystallization temperature T£",
"x","950","1","dexc","Determination of onset crystallization temperature T£ and temperature of exothermal maximum T‚",
"x","950","1","dsc","by DSC method",
"x","954","1","dem","Determination of melting temperature TŒ",
"x","954","1","dsc","by DSC method",
"x","954","1","dta","by DTA method",
"a",,"2g",,"Annealing at                                                                                        ","K below T†"
"x","200","1","ptwm","by plane temperature waves method",
"x","220","1","ptwm","by plane temperature waves method",
"x","220","9","eq2","Constants in the equation ô=A-BP where P is the pressure in GPa",
"x","220","9","eq3","Constants in the equation ô=A-BT where T is temperature in K",
"x","300","1","adm","by apparent depth method",
"x","400","9","eq9","Constants in the equation logñ=A+B/T×+C/(T-Tà).",
"x","700","1","grib","by General Radio impedance bridge",
"x","700","1","gro","by General Radio oscillator",
"x","700","9","ae21k","Activation energy E in the equation log(ó·T)=logóà-0.4343·E/kT",
"x","700","9","eq21k","Constants in the equation log(ó·T)=logóà-0.4343·E/kT",
"x","990","9","eq5","Constants in the equation log(P,atm)=A-B/4.576·T.",
"m",,"1","cec","Melting in ""ceramice"" crucibles",
"m",,"1","vc","Melting in Vitreosil crucibles",
"x","500","1","fttm","by fibre tensile testing machine",
"x","500","1","tod","by torsional oscillations of disks with known moments of inertia glued at one fibre end",
"x","730","1","grib","by General Radio impedance bridge",
"x","000","3","ad","Note: Additional data for glass No.",
"x","000","3","ads","Note: Additional data for glasses Nos",
"x","000","3","ad1","see in Table No.",
"x","000","3","fs","Note: Numerical values were taken from figures.",
"x","500","9","eq2","Constants in the equation c=A-BT where T is given in oC.",
"x","300","9","eq3","Constants in the equation n=A+BT, where T is given in °C.",
"x","400","1","wr","by Weissenberg rheogoniometer operating in oscillatory shear mode",
"x","730","9","eq1k","Constants in the equation logfŒ€£=logfŒ€£+0.4343·E…Œ€£/kT.",
"x","950","1","mt","using microscopical technique",
"x","000","3","ads1","see in Tables Nos",
"x","520","9","ae3k","Activation energy E in eq. ý=ýà·exp(E/kT) where ý is the peak frequency at T and ýà is a constant",
"x","700","3","iee","using indium evaporated electrodes",
"x","950","1","lm","using Leitz microscope",
"a",,"3m",,"for                                                                                                 ","min"
"x","200","9","eq4","Constants in the equation H-Háààà=Aá+BáT.",
"x","400","9","eq12","Constants in the equation: ñ=ñà·exp(aP) where ñà is the viscosity at 1 atm.",
"x","700","1","ttm","by three-terminal method",
"x","700","1","vdm","by voltage drop method",
"x","700","3","nee","using nichrome evaporated electrodes",
"x","700","3","see","using silver evaporated electrodes",
"x","730","1","cpt","by cavity perturbation technique",
"x","730","4","gr","with guard rings",
"m",,"1","cac","Melting in covered alumina crucibles",
"x","300","1","tm","by travelling microscope",
"x","700","1","as","by admittance spectroscopy",
"x","700","1","cb","by capacitance bridge",
"x","730","1","grcb","by General Radio capacitance bridge",
"x","730","1","ia","by impedance analyzer",
"x","950","1","men","Measurements of nucleation rate",
"x","950","1","tem","by transmission electron microscopy",
"x","100","9","eq4","Constants in the equation V = A + BT, where V is the molar volume in cmÃ/mol and T is in °C.",
"x","100","9","eq5","Constants in the equation V = A + B(T-Tà) where V is specific volume in cmÃ/g.",
"x","200","9","eq5","Constants in the equation C¡ = a·T + b·TÃ where C¡ is in erg/g.K and T is in K.",
"x","220","9","eq4","Constants in the equation ô=A.T^B where ô is in W/cm.K and T is in K.",
"x","700","3","gcee","using gold-chromium evaporated electrodes",
"x","730","9","ae1","Activation energy in the equation logf_max=logf_max0+0.4343*E_fmax/RT.",
"x","999","not",".",,
"m",,"1","gporc","Melting in glazed porcelain crucibles",
"x","000","3","th1","Note: Data were taken from: H.Thiene. Glas, v.1. Verlag G.Fischer, Jena, 1932,",
"x","000","3","th2","Note: Data were taken from: H.Thiene. Glas, v.2. Verlag G.Fischer, Jena, 1939,",
"x","440","1","dm","by dilatometric measurements",
"x","520","1","ftvm","by free torsional vibration method",
"x","730","9","ae6","Activation energy in the equation f_max=f_max0*exp(-E_fmax/RT)",
"x","830","9","ae","Activation energy E in the equation",
"x","830","9","aes","Activation energy E in the equations",
"x","950","1","mekc","Study of crystallization kinetics",
"x","230","1","ltm","by laser flash method",
"x","230","1","ptwm","by plane temperature wave method",
"x","600","1","eq7","Constants in the equation logv=logA-0.4343·E/RT where v is the dissolution rate in mol/cmÂ.s.",
"x","100","1","cdsa","by computerized drop shape analysis",
"x","230","1","lfm","by laser flash method",
"x","560","1","cdsa","by computerized drop shape analysis",
"x","000","1a",,"Temperature range                                                                                   ","°C."
"x","000","1c",,"at a cooling rate of","K/min"
"x","000","1h",,"at a heating rate of","K/min"
"x","000","1o",,"at temperature                                                                                      ","°C"
"x","000","1r",,"in temperature range                                                                                ","°C"
"x","000","1t",,"Temperature of measurements                                                                         ","°C"
"x","000","2a",,"at frequency",
"x","000","2f",,"Frequency",
"x","400","1atm","ara","in argon atmosphere",
"x","600","1","hi1","Note. Here h is the amount of alkali salt of iodeosine formed on the sample surface",
"x","600","1","hi2","after it was kept in humid atmosphere and then immersed for 1 min in ether solution",
"x","600","1","hi3","of iodeosine (0.5 g of iodeosine per 1 l of water saturated by ether).",
"x","600","1","otc","Note. In the original text not all conditions of measurements of chemical durability were indicated.",
"x","600","1","ntc1","Note. Unfortunately, in the original the information on the conditions of measurements of chemical",
"x","600","1","ntc2","durability is not complete. Nevertheless, the corresponding data could appear useful in some cases ",
"x","600","1","ntc3","and accordingly they were included in this table.",
"x","730","3","nee","using nichrome evaporated electrodes",
"x","600","1ms",,"Measurements of staining resistance",
"x","000","3","aik","Note. For preparation of this table an additional information ",
"x","000","3","aik1","kindly made available by authors of the original publication was used.",
"x","600","1","ae2","Activation energy E in the equation v=và·exp(-E/RT)",
"x","600","1","nr","Determination of normalized release of components from equation NR = C/f·(SA/V), where C",
"x","600","1","nr1","is the concentration of a component in extract, mg/l, f is the weight fraction of the component",
"x","600","1","nr2","in the original glass, and SA/V is the ratio of glass surface area to solution volume, m¬Á",
"x","000","3","rw","Note. Glasses may be used to stabilize radioactive waste.",
"x","300","1","met1","Measured melt is in a cell with sapphire windows.",
"x","300","1","met2","Measured melt is in a platinum crucible.",
"x","300","1","met2a","Light beam is reflected from a platinum mirror immersed into the melt.",
"x","300","1","nt1","Note. In the original paper there are no indications of the kind of logarithms (common or natural)",
"x","300","1","nt2","which was selected as the base for the calculation of the values of absorption coefficient.",
"x","300","1","nt3","Thus any changes of Y-axis are impossible.",
"x","600","1","rw","Note. Glasses may be used to stabilize radioactive waste.",
"x","300","1","nta1","Note. In the original paper there is no indication of sample thickness.",
"x","300","1","nta2","Thus any changes of Y-axis are impossible.",
"x","300","1","ntc1","Note. In the original the thickness of measured plates is not indicated.",
"x","300","1","ntc2","Nevertheless, data on transmission could give some information on optical characteristics",
"x","300","1","ntc3","of glasses. Thus these data were included in the table.",
"x","400","9","eq11","Constants in the equation: ln(ñ,Pa·s)=A+B/T.",
"x","700","9","eq22","Constants in the equation ln(ó,Ohm¬Á·m¬Á)=A+B/T.",
"x","540","1","mecv","Measurements of crack velocity",
"x","200","1","dta","by DTA method",
"x","200","9","eq6","Constants in the equation C = a·T + b·TÃ + c·TÅ where C is in erg/g.K and T is in K.",
"x","300","9","eq4","Constants in the equation n=A+BT, where T is given in K.",
"x","000","3","rwad1","Melting waste glasses by adding to the original glass a specific",
"x","000","3","rwad2","nuclear waste calcine. Compositions were calculated by SciGlass authors.",
"x","560","9","eq1k","Constants in the equation û=A-BT where T is the temperature in K",
"x","560","9","eq2","Constants in the equation û=A+BT+CTÂ",
"x","400","9","eq13","Constants in the equation: log(ñ)=A·T^B where T is the temperature in °C.",
"x","100","9","eq6","Constants in the equation d = A + B(T-Tà).",
"x","560","9","eq3","Constants in the equation û=A-B(T-Tà).",
"x","400","9","eq14","Constants in the equation: log(ñ,Pa.s)=A+B/T+C/TÂ where T is the temperature in K.",
"x","000","3","kpn","Note. In the original paper the kind of percent is not indicated."," "
"x","700","9","eq23","Constants in the equation ln(ó,Ohm¬Á.cm¬Á)=A-B/T.",
"x","200","9","eq1","Constants in the equation C=A+BT+CT ¬Â+DT ¬ÁÑÂ where T is temperature in K.",
"x","200","9","eq2","Constants in the equation C=A+BT+CT ¬Â where T is temperature in K.",
"x","000","1ak",,"Temperature range       ","K."
"x","900","3","1","Note.* - 1 , 2, and 3 mean glass, glass with crystals, and totally crystallized sample respectively.",
"x","900","3","2","See ternary diagram.",
"x","300","9","eq1","Constants in the equation n_D=A+B*x, where x is mol% of RmOn",
"x","700","9","eq24","Constants in the equation log(ú/T)=A+B/(T-Tà)",
"x","000","3","ad2",", glass No.",
"x","000","3","ads2",", glasses Nos",
"x","700","9","eq16","Constants in the equation ln(ó·T)=lnóà-E/RT.",
"x","400","9","eq15","Constants in the equation: ñ=A+B·T+C·TÂ where T is the temperature in K.",
"x","700","9","eq21","Constants in the equation log(ó·T)=logóà-0.4343·E/RT",
"x","400","9","eq16","Constants in the equation: ñ=A·exp(B/(T-Tà))",
"x","000","bad","point","measurements for binary glasses differ greatly from other published data of the same kind.",
"x","200","9","eq7","Constants in the equation C=A+BT where T is temperature in K.",
"x","300","1mec",,"Measurements of extinction coefficient for",
"x","300","1me","c","Measurements of extinction coefficient",
"x","410","1","me","Determination of softening temperature",
"x","410","1","dsc","by DSC method",
"x","410","1","dta","by DTA method",
"c",,,"w","wt %",
"c",,,"b","batch",
"g",,,,"Glass number",
"x","000","code",,,
"a",,"0",,,
"x","400","1r","ara","in argon atmosphere",
"x","900","3","ccr","Study of critical cooling rate",
"x","900","1","dta","by DTA method",
"x","000","3","un","Note. Author(s) of publication reported unusual value(s) of",
"x","130","9","eq1","Constants in the equation ê = A + BT",
"x","000","1cb",,"Cooling rate","K/min"
"x","730","1","mp","Measurements of dielectric permittivity",
"x","000","3","noc","Exact compositions are not specified.",
